Player,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
Quez Watkins,PHI,3,2,2,7,3,,,,,,,,,,,,,,17,3.4
Olamide Zaccheaus,ATL,-,4,6,3,4,,,,,,,,,,,,,,17,4.3
Parris Campbell,IND,3,-,4,3,6,,,,,,,,,,,,,,16,4
Mohamed Sanu Sr.,SF,1,1,6,5,3,,,,,,,,,,,,,,16,3.2
Deonte Harris,NO,2,2,3,8,1,,,,,,,,,,,,,,16,3.2
Marquez Valdes-Scantling,GB,8,4,4,-,-,,,,,,,,,,,,,,16,5.3
Rashard Higgins,CLE,-,2,2,7,5,,,,,,,,,,,,,,16,4
Nick Westbrook-Ikhine,TEN,2,1,4,8,-,,,,,,,,,,,,,,15,3.8
Freddie Swain,SEA,1,5,2,4,3,,,,,,,,,,,,,,15,3
Trinity Benson,DET,6,3,1,3,2,,,,,,,,,,,,,,15,3
Brandon Aiyuk,SF,0,2,6,3,4,,,,,,,,,,,,,,15,3
Devin Duvernay,BAL,2,0,3,6,4,,,,,,,,,,,,,,15,3
Jamison Crowder,NYJ,-,-,-,9,6,,,,,,,,,,,,,,15,7.5
Tyler Johnson,TB,1,2,6,2,3,,,,,,,,,,,,,,14,2.8
Dyami Brown,WAS,4,6,2,2,-,,,,,,,,,,,,,,14,3.5
Byron Pringle,KC,2,2,6,2,2,,,,,,,,,,,,,,14,2.8
Randall Cobb,GB,1,3,1,6,3,,,,,,,,,,,,,,14,2.8
Darius Slayton,NYG,7,6,1,-,-,,,,,,,,,,,,,,14,4.7
James Washington,PIT,2,1,5,5,-,,,,,,,,,,,,,,13,3.3
Jalen Guyton,LAC,5,2,1,2,3,,,,,,,,,,,,,,13,2.6
DeSean Jackson,LAR,2,-,5,3,3,,,,,,,,,,,,,,13,3.3
Cedrick Wilson Jr.,DAL,3,2,4,2,1,,,,,,,,,,,,,,12,2.4
Marquise Goodwin,CHI,4,3,1,2,2,,,,,,,,,,,,,,12,2.4
Juwan Johnson,NO,3,3,1,3,1,,,,,,,,,,,,,,11,2.2
Anthony Miller,HOU,-,-,6,5,-,,,,,,,,,,,,,,11,5.5
Chris Conley,HOU,2,2,1,1,4,,,,,,,,,,,,,,10,2
Demarcus Robinson,KC,2,4,2,-,2,,,,,,,,,,,,,,10,2.5
Donovan Peoples-Jones,CLE,1,1,2,0,6,,,,,,,,,,,,,,10,2
Allen Lazard,GB,4,-,1,3,2,,,,,,,,,,,,,,10,2.5
KJ Hamler,DEN,4,3,3,-,-,,,,,,,,,,,,,,10,3.3
Albert Wilson,MIA,2,6,-,2,-,,,,,,,,,,,,,,10,3.3
Tajae Sharpe,ATL,-,2,1,2,5,,,,,,,,,,,,,,10,2.5
Josh Reynolds,TEN,-,0,-,9,1,,,,,,,,,,,,,,10,3.3
Collin Johnson,NYG,-,-,7,0,3,,,,,,,,,,,,,,10,3.3
DeAndre Carter,WAS,0,0,0,1,8,,,,,,,,,,,,,,9,1.8
Russell Gage,ATL,2,7,-,-,-,,,,,,,,,,,,,,9,4.5
Anthony Schwartz,CLE,5,1,1,1,1,,,,,,,,,,,,,,9,1.8
Kenny Stills,NO,-,-,3,1,5,,,,,,,,,,,,,,9,3
James Proche II,BAL,-,-,1,6,2,,,,,,,,,,,,,,9,3
Keelan Cole Sr.,NYJ,-,-,2,4,3,,,,,,,,,,,,,,9,3
John Ross,NYG,-,-,-,4,5,,,,,,,,,,,,,,9,4.5
Jamal Agnew,JAC,0,0,0,1,7,,,,,,,,,,,,,,8,1.6
Gabriel Davis,BUF,5,-,1,1,1,,,,,,,,,,,,,,8,2
Trent Sherfield,SF,3,3,-,2,-,,,,,,,,,,,,,,8,2.7
Chris Hogan,NO,1,3,1,2,1,,,,,,,,,,,,,,8,1.6
Preston Williams,MIA,-,3,-,-,5,,,,,,,,,,,,,,8,4
Will Fuller V,MIA,-,-,6,2,-,,,,,,,,,,,,,,8,4
Tavon Austin,JAC,-,-,-,3,5,,,,,,,,,,,,,,8,4
Michael Gallup,DAL,7,-,-,-,-,,,,,,,,,,,,,,7,7
Ray-Ray McCloud,PIT,0,0,4,1,2,,,,,,,,,,,,,,7,1.4
Demetric Felton,CLE,0,2,3,2,0,,,,,,,,,,,,,,7,1.4
Jerry Jeudy,DEN,7,-,-,-,-,,,,,,,,,,,,,,7,7
Kendall Hinton,DEN,-,1,-,3,3,,,,,,,,,,,,,,7,2.3
KhaDarel Hodge,DET,-,-,1,1,5,,,,,,,,,,,,,,7,2.3
Danny Amendola,HOU,5,1,-,-,-,,,,,,,,,,,,,,6,3
Dede Westbrook,MIN,1,0,0,1,4,,,,,,,,,,,,,,6,1.2
Joshua Palmer,LAC,1,2,-,-,3,,,,,,,,,,,,,,6,2
Jarvis Landry,CLE,5,1,-,-,-,,,,,,,,,,,,,,6,3
C.J. Board,NYG,1,0,2,0,3,,,,,,,,,,,,,,6,1.2
Zay Jones,LV,2,-,1,1,2,,,,,,,,,,,,,,6,1.5
Mike Thomas,CIN,3,-,1,1,-,,,,,,,,,,,,,,5,1.7
Ashton Dulin,IND,0,2,0,1,2,,,,,,,,,,,,,,5,1
Ty Montgomery,NO,1,1,0,3,0,,,,,,,,,,,,,,5,1
Brandon Zylstra,CAR,-,3,0,2,0,,,,,,,,,,,,,,5,1.3
Christian Blake,ATL,-,1,0,0,4,,,,,,,,,,,,,,5,1.3
Chris Moore,HOU,-,-,0,-,5,,,,,,,,,,,,,,5,2.5
Cameron Batson,TEN,-,-,1,4,0,,,,,,,,,,,,,,5,1.7
Noah Brown,DAL,-,-,1,0,4,,,,,,,,,,,,,,5,1.7
Curtis Samuel,WAS,-,-,-,4,1,,,,,,,,,,,,,,5,2.5
Marcus Johnson,TEN,-,-,-,-,5,,,,,,,,,,,,,,5,5
Nico Collins,HOU,3,1,-,-,-,,,,,,,,,,,,,,4,2
Penny Hart,SEA,0,-,2,-,2,,,,,,,,,,,,,,4,1.3
Denzel Mims,NYJ,1,-,-,-,3,,,,,,,,,,,,,,4,2
Jeff Smith,NYJ,1,2,1,-,-,,,,,,,,,,,,,,4,1.3
Willie Snead IV,LV,1,1,-,1,1,,,,,,,,,,,,,,4,1
Jody Fortson,KC,-,1,2,1,-,,,,,,,,,,,,,,4,1.3
Tyron Johnson,JAC,1,1,-,1,-,,,,,,,,,,,,,,3,1
Mike Strachan,IND,2,1,-,-,-,,,,,,,,,,,,,,3,1.5
Tyrell Williams,DET,3,-,-,-,-,,,,,,,,,,,,,,3,3
Cam Sims,WAS,1,-,2,0,-,,,,,,,,,,,,,,3,1
K.J. Hill Jr.,LAC,3,0,0,0,0,,,,,,,,,,,,,,3,0.6
Malik Taylor,GB,3,-,-,-,0,,,,,,,,,,,,,,3,1.5
Diontae Spencer,DEN,0,0,1,1,1,,,,,,,,,,,,,,3,0.6
Damiere Byrd,CHI,3,-,-,-,-,,,,,,,,,,,,,,3,3
Greg Ward,PHI,-,0,1,2,0,,,,,,,,,,,,,,3,0.8
Jauan Jennings,SF,-,2,-,1,-,,,,,,,,,,,,,,3,1.5
Scotty Miller,TB,-,0,3,-,-,,,,,,,,,,,,,,3,1.5
